,locality,type of property,subtype of property,price,sale type,number of rooms,area,kitchen equipment,furnished,open fire,terrace,terrace area,garden,garden area,surface land,surface plot land,number of facades,swimming pool,building state
9,Malderen,Appartement,Duplex,310000,notariale,6,50,0,0,0,True,22,0,None,None,None,None,0,None
0,Tienen,Appartement,None,275000,notariale,5,85,0,0,0,True,25,0,None,None,None,2,0,old
1,Testelt,Maison,None,285000,notariale,5,None,0,0,0,None,None,0,None,None,755,4,0,new
2,Zichem,Maison,Maison unifamiliale,250000,notariale,6,176,0,0,0,None,None,1,None,None,980,4,0,old
3,Schaffen,Maison,None,260000,notariale,6,234,0,0,0,None,None,0,None,None,755,4,0,old
4,Linden,Maison,Villa,1280000,notariale,4,474,0,0,0,None,None,0,None,None,600,4,0,old
5,Nieuwrode,Appartement,App. rez-de-chaussée,249000,notariale,3,None,0,0,0,None,None,0,None,None,None,2,0,old
6,Tielt,Maison,Villa,398000,notariale,5,301,0,0,0,True,35,0,None,None,140,4,0,new
7,Elewijt,Maison,None,549000,notariale,12,38,0,0,0,None,None,0,None,None,443,4,0,None
8,Scherpenheuvel,Maison,None,225000,notariale,5,156,0,0,0,None,None,1,None,None,907,None,0,None
9,Averbode,Maison,Maison unifamiliale,260000,notariale,5,140,0,0,0,None,None,1,None,None,367,3,0,old
0,Kortenaken,Maison,None,390000,notariale,7,235,0,0,0,None,None,0,None,None,778,4,0,old
1,Tielt-Winge,Maison,Villa,475000,notariale,13,366,0,0,1,None,None,0,None,None,954,4,0,old
2,Zoutleeuw,Maison,None,205000,notariale,4,125,0,0,0,True,33,0,None,None,85,2,0,old
3,Kessel-Lo,Appartement,Duplex,379000,notariale,7,140,0,0,0,True,10,0,None,None,380,2,0,old
4,Tienen,Maison,None,199000,notariale,5,175,0,0,0,None,None,0,None,None,415,2,0,old
5,Halle,Maison,None,423000,notariale,6,174,0,0,0,None,None,0,None,None,526,4,0,old
6,Begijnendijk,Maison,None,351500,notariale,6,None,0,0,0,None,None,0,None,None,516,4,0,old
7,Boortmeerbeek,Maison,None,399000,notariale,6,148,0,0,0,None,None,0,None,None,413,None,0,old
8,Dilbeek,Maison,None,430000,notariale,6,196,0,0,0,None,None,0,None,None,340,3,0,old
9,Dilbeek,Maison,None,409000,notariale,6,165,0,0,0,None,None,0,None,None,327,3,0,old
0,Merchtem,Appartement,None,288000,notariale,5,87,0,0,0,True,20,0,None,None,None,None,0,None
1,Merchtem,Appartement,None,205000,notariale,3,54,0,0,0,True,31,0,None,None,None,None,0,None
2,Merchtem,Appartement,None,172000,notariale,3,48,0,0,0,True,6,0,None,None,None,None,0,None
3,Merchtem,Appartement,None,275000,notariale,4,84,0,0,0,True,15,0,None,None,None,None,0,None
4,Merchtem,Appartement,None,184000,notariale,3,53,0,0,0,True,6,0,None,None,None,None,0,None
5,Merchtem,Appartement,None,233000,notariale,4,78,0,0,0,True,84,0,None,None,None,None,0,None
6,Merchtem,Appartement,None,268000,notariale,4,80,0,0,0,True,6,0,None,None,None,None,0,None
7,Merchtem,Appartement,None,254000,notariale,4,82,0,0,0,True,28,0,None,None,None,None,0,None
8,Merchtem,Appartement,None,184000,notariale,3,53,0,0,0,True,6,0,None,None,None,None,0,None
9,Merchtem,Appartement,None,205000,notariale,3,54,0,0,0,True,31,0,None,None,None,None,0,None
